snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        29     479468      2.45023942  16.67466736   3.9084e+07   3.6746e+08   2.2802e+10          0.0   4.0654e+08   0.13570000   0.00000000 19210.762645 4905.193581 50233172.00000000      49613 19209.895849 4904.309656 50642768.95944005          1          1          0   0.467164  -0.981101  -0.967633  -0.000880  12.156813   2.167293   0.352565  10.542135  10.701433 75001648.883297  28.484018  27.733399   1.000000  10.542135   1.045799   0.100000   0.000000   0.042013      49613
        30     311209      2.34906769 251.36682129   8.5339e+08   1.2013e+09   1.3193e+11    2230800.0    2.057e+09   1.01420000   0.00022763 9011.719812 4908.916818 1165781504.00000000      49620 9011.820983 4908.694379 945149068.11468613          1          0          0   0.535114  -1.748353  -0.099577  -0.040258  76.407570   2.946924   0.109162   6.568009  12.825541 1052422211.810162  36.565555  51.318851   0.873570   4.830697   0.640855   0.000000   0.000000   0.036596      49620
        27     140218      2.83701468 453.46029663   1.2875e+09   1.9316e+09   3.6851e+11    2033900.0   3.2211e+09   1.27380000   0.00017192 9034.039816 4941.556865 1970400768.00000000      49621 9035.431276 4942.760789 1477322657.92552996          1          0          0   0.561554  -1.792379   0.061812  -0.020202  93.438735   3.130869   0.162836   6.517805  11.122972 1468902828.179919  82.752155  54.374033   0.947663   3.640068   0.615851   0.000000   0.000000   0.065917      49621
        22      55478      3.84737611 908.59313965   3.5983e+09   6.9491e+09   4.3626e+11    3747500.0   1.0551e+10  13.43760000   0.00102220 17810.961384 4915.034962 5122336256.00000000      49623 17810.131936 4916.316065 4004350028.62760925          1          0          0   0.586306  -1.812077   0.197985   0.001564 245.172237   3.541626   0.190199   5.294046  11.884834 4056086876.007603  52.104536  68.413059   1.163404   3.444602   0.403128   0.000000   0.000000   0.098160      49623
        31     172435      2.22626281  60.01752090   2.7195e+08   4.9759e+08   5.8654e+10    1344100.0   7.7088e+08   0.19780000   0.00003054 17844.081408 4914.194932 330926560.00000000      49625 17843.651810 4913.347209 268676396.57372290          1          0          0   0.645347  -1.857276   0.521560   0.053732   1.614321   3.395050  -0.587331  11.454592  30.701642 442120558.752834  24.485547  40.000339   1.287532  12.379525   0.164278   0.000000   0.000000   0.051637      49625
        33     195514      2.09604859 2715.79223633   1.1112e+10   2.3146e+09   3.8438e+11   6.6473e+07   1.3493e+10   3.95090000   0.00336130 12023.840000 4923.197502 14516189184.00000000      49626 12023.425214 4923.616667 14080713536.27767181          1          0          0   0.465577  -1.499206  -0.616445  -0.074469 2684.828093   2.420961   0.026739   3.646817   6.767909 12940609600.320057  98.524270  78.488969   0.659949   3.141976   0.172727   0.000000   0.000000   0.115215      49626
        73     637977      0.40679771 168.39535522   3.8147e+07   5.7421e+08   7.9013e+10    1189900.0   6.1354e+08   0.01140000   0.00000023 11992.160000 4941.917522 57181920.00000000      49627 11990.546757 4937.057162 352012664.42833996          1          0          0   0.642328  -1.685541   0.387602   0.074614   7.940154   4.185500   0.532053  15.110513  48.030840 486051353.933896  71.698873  69.670909   1.883533  13.099100   0.644476   0.048632   0.080005   0.296387      49627
        24     256716      3.36079311  22.00684738   1.0314e+08   5.5446e+08   3.9205e+10          0.0    6.576e+08   0.17120000   0.00000000 18247.521720 4912.754565 126019112.00000000      49628 18252.123557 4914.105608 92824731.19502968          1          0          0   0.541072  -1.528061  -0.222749  -0.003740  12.071218   2.728273   0.378089   8.008871  17.133629 136207632.044744  42.512290  22.453644   0.960429  10.345968   0.919862   0.000000   0.000000   0.161812      49628
        62     499112      0.61564058 8587.09375000   3.5649e+09   1.7432e+09   2.3511e+11   1.3744e+07   5.3219e+09   1.09330000   0.00041834 18220.641698 4949.714644 4333850112.00000000      49629 18220.598664 4949.917304 6053298396.73913383          1          0          0   0.519448  -1.495388  -0.352427  -0.020605  97.402967   3.344275   0.525058  16.483843  28.725344 6074662157.835062 141.258939 120.609499   1.832705  22.492911   1.183355   0.401826   0.182013   0.171915      49629
        62      52169      0.64999384 2083.87329102   1.0603e+09          0.0    8.796e+09    3325400.0   1.0636e+09   0.00000000   0.00000000 18254.721726 4952.714617 1299443712.00000000      49630 18256.645892 4953.800745 1678324859.91781449          1          1          0   0.570414  -1.855993   0.149754  -0.020273  20.336239   3.389628   0.425678  19.817414  36.478124 1810134177.862368 121.478737 119.809718   2.267422  19.817414   0.749414   0.000000   0.000000   0.078741      49630
